GeoName,Geocode,2016,2017,2018,2019,2020,2021,2022
City of London,E09000001,818316 ,849790 ,784809 ,797505 ,829379 ,812465 ,820895 
Barking & Dagenham,E09000002,273920 ,287735 ,295197 ,298338 ,302143 ,316508 ,343404 
Barnet,E09000003,525940 ,538281 ,533267 ,520524 ,525780 ,550729 ,587775 
Bexley,E09000004,321564 ,335694 ,342604 ,336988 ,343045 ,366010 ,392370 
Brent,E09000005,489469 ,487704 ,492845 ,474732 ,485851 ,513737 ,537278 
Bromley,E09000006,428008 ,441219 ,443410 ,436486 ,434760 ,465972 ,497565 
Camden,E09000007,807119 ,839347 ,842410 ,843067 ,829863 ,836069 ,858785 
Croydon,E09000008,355847 ,372554 ,370299 ,365678 ,374985 ,395147 ,418332 
Ealing,E09000009,476441 ,484592 ,480051 ,472620 ,479629 ,506266 ,525040 
Enfield,E09000010,385490 ,395929 ,396632 ,392674 ,395992 ,424015 ,445851 
Greenwich,E09000011,372738 ,391750 ,388344 ,393279 ,395397 ,405292 ,426764 
Hackney,E09000012,537746 ,549006 ,544640 ,554933 ,582295 ,593868 ,630698 
Hammersmith & Fulham,E09000013,755097 ,756900 ,725525 ,718997 ,728445 ,764719 ,763007 
Haringey,E09000014,527677 ,557307 ,551561 ,546130 ,559653 ,575004 ,595998 
Harrow,E09000015,453862 ,470763 ,465907 ,449347 ,453345 ,485927 ,520296 
Havering,E09000016,341804 ,360479 ,370249 ,364652 ,370359 ,390833 ,418747 
Hillingdon,E09000017,400791 ,413587 ,410266 ,404444 ,409824 ,431264 ,455212 
Hounslow,E09000018,386462 ,400905 ,396631 ,401072 ,410288 ,424637 ,440202 
Islington,E09000019,642137 ,650115 ,649824 ,633667 ,662764 ,690302 ,719493 
Kensington & Chelsea,E09000020,1276235 ,1344540 ,1363880 ,1241423 ,1326363 ,1321816 ,1437211 
Kingston upon Thames,E09000021,483333 ,492319 ,497091 ,487328 ,490318 ,513146 ,543064 
Lambeth,E09000022,514562 ,518504 ,511536 ,508149 ,528241 ,533484 ,546211 
Lewisham,E09000023,402649 ,411049 ,411629 ,409017 ,422906 ,438113 ,453718 
Merton,E09000024,500267 ,512186 ,512294 ,505481 ,523837 ,549660 ,570152 
Newham,E09000025,347957 ,362132 ,359023 ,363993 ,371433 ,387751 ,406480 
Redbridge,E09000026,391837 ,410300 ,422591 ,411968 ,423290 ,454083 ,474786 
Richmond upon Thames,E09000027,653761 ,665285 ,652665 ,649443 ,680945 ,711297 ,755257 
Southwark,E09000028,510331 ,515883 ,504235 ,499370 ,510870 ,514765 ,543313 
Sutton,E09000029,365303 ,376925 ,379263 ,371993 ,378215 ,402176 ,430778 
Tower Hamlets,E09000030,457130 ,459279 ,446501 ,438287 ,464414 ,454819 ,468917 
Waltham Forest,E09000031,413149 ,436117 ,440859 ,430835 ,450012 ,477608 ,496553 
Wandsworth,E09000032,608741 ,617921 ,596649 ,588496 ,611611 ,611513 ,646027 
Westminster,E09000033,995543 ,1064772 ,1020025 ,955999 ,960469 ,962777 ,999671 
Average,,506566 ,522732 ,517786 ,507910 ,521139 ,537759 ,563879 
