GSS_CODE,price
E09000001,146.12121212121212
E09000002,47.473684210526315
E09000003,60.8
E09000004,44.127272727272725
E09000005,65.68034188034189
E09000006,58.175438596491226
E09000007,116.05934850513164
E09000008,54.79126213592233
E09000009,66.38703339882122
E09000010,55.11206896551724
E09000011,72.92444444444445
E09000012,81.775
E09000013,104.98978494623655
E09000014,56.714003944773175
E09000015,46.921052631578945
E09000016,56.86666666666667
E09000017,53.93023255813954
E09000018,88.37616822429906
E09000019,93.95254629629629
E09000020,147.01600937133932
E09000021,69.96791443850267
E09000022,81.1066608619939
E09000023,62.523148148148145
E09000024,85.2910447761194
E09000025,67.5557251908397
E09000026,59.688741721854306
E09000027,103.87268993839835
E09000028,85.50942507068802
E09000029,54.0188679245283
E09000030,76.82313795751216
E09000031,60.92307692307692
E09000032,92.07138643067847
E09000033,138.51394029114238
