,NAME,GSS_CODE,house_price2021_2016,distance_borough,airbnb2021_2016
1,City of London,E09000001,-5851,0,87.74810606
2,Barking and Dagenham,E09000002,42588,16021.55849,25.40162751
3,Barnet,E09000003,24789,13907.48287,69.40851875
4,Bexley,E09000004,44446,17309.95817,22.22961773
5,Brent,E09000005,24268,13118.91373,60.12250964
6,Bromley,E09000006,37964,18771.24704,20.77230915
7,Camden,E09000007,28950,5727.789729,31.9426865
8,Croydon,E09000008,39300,17749.10577,11.91439824
9,Ealing,E09000009,29825,16597.62648,25.05761719
10,Enfield,E09000010,38525,15149.10814,14.07532456
11,Greenwich,E09000011,32554,11317.17482,62.45612774
12,Hackney,E09000012,56122,4619.055263,18.57856201
13,Hammersmith and Fulham,E09000013,9622,9205.924155,33.56128693
14,Haringey,E09000014,47327,8468.703341,41.16394477
15,Harrow,E09000015,32065,19579.44903,27.71258792
16,Havering,E09000016,49029,22420.87476,27.97889318
17,Hillingdon,E09000017,30473,24704.89911,50.65559421
18,Hounslow,E09000018,38175,19781.79441,23.94765067
19,Islington,E09000019,48165,3946.533877,45.99688355
20,Kensington and Chelsea,E09000020,45581,7136.217753,58.23810035
21,Kingston upon Thames,E09000021,29813,19560.68109,44.32654063
22,Lambeth,E09000022,18922,7106.040598,18.89256454
23,Lewisham,E09000023,35464,8950.115892,25.65043485
24,Merton,E09000024,49393,13764.42734,34.38749485
25,Newham,E09000025,39794,9047.046118,22.35226512
26,Redbridge,E09000026,62246,14067.50781,15.43872414
27,Richmond upon Thames,E09000027,57536,17338.12969,33.54641338
28,Southwark,E09000028,4434,4797.260652,87.66045533
29,Sutton,E09000029,36873,17999.6951,21.96412527
30,Tower Hamlets,E09000030,-2311,3935.969607,26.55151086
31,Waltham Forest,E09000031,64459,10391.96504,14.13437649
32,Wandsworth,E09000032,2772,9630.783696,39.21492177
33,Westminster,E09000033,-32766,4798.992404,103.1848267
